Timestamp,B1_H_L,B1_H_R,B1_V_L,B1_V_R,B2_H_L,B2_H_R,B2_V_L,B2_V_R
1463604421,0,0,0,0,0,0,0,0
1463604423,-0.339663,-0.493452,-0.538332,0.50852,0.728637,0.0957164,0.362038,0.563058
1463604425,0.30209,-0.638702,-0.751851,0.249702,0.693718,0.380437,0.532844,0.788194
1463604427,0.00703325,-0.632795,-0.388034,-0.152,0.798286,0.249238,0.626939,0.875076
1463604429,0.0517746,-1.12012,-0.987064,0.400123,0.717989,0.376044,0.754997,1.42015
1463604431,-0.119095,-0.265112,-0.486378,0.0779315,0.557918,0.338879,-0.299835,1.21
1463604433,-0.438384,-0.175766,-0.143734,0.505578,0.930402,0.618398,0.82971,1.33482
1463604435,0.0450615,-0.269062,0.0551301,0.732483,0.591263,0.751276,0.900674,2.32053
1463604437,-0.156515,-0.870529,-0.949545,0.733497,1.21215,0.55602,1.11789,2.983
1463604439,-0.826396,-0.733439,-0.772978,1.37481,1.24949,0.112001,1.20462,2.84473
1463604441,-0.705226,-0.319634,-1.04938,0.646946,0.603283,-0.728013,1.00752,1.75823
1463604443,-0.43162,-0.515178,-1.37854,0.834105,0.935858,-0.164093,0.525555,1.888
1463604445,-0.81548,-1.28042,-0.308589,0.605883,0.760026,-0.282826,0.477814,1.87097
1463604447,-0.852677,-0.94159,-0.703384,0.0241113,0.871447,0.0647235,0.437638,2.70859
1463604449,-0.818762,-0.804094,-1.22389,0.78479,0.87513,-0.175934,0.302467,2.19257
1463604451,-0.525237,-0.667873,-1.36833,0.761908,0.593209,-0.3762,-0.131937,1.29616
1463604453,-0.641926,-0.465813,-1.69249,0.809154,1.10319,0.063331,-0.015261,2.24457
1463604455,-0.344702,-0.386783,-1.44497,0.104944,0.696013,-0.304382,-0.618782,1.72033
1463604457,-0.271164,-0.53041,-0.585916,0.00293403,1.2116,-0.685964,0.148224,1.5489
1463604459,-0.538503,-0.39037,-0.180568,0.452168,0.451627,-0.397753,0.885851,1.44234
1463604461,-0.321838,-0.133178,-0.342183,0.521085,0.725692,-0.571433,0.727775,2.46463
1463604463,-0.0379972,0.283998,-0.698226,1.04674,0.773757,-0.534007,0.591159,3.54782
1463604465,0.431597,-0.0884899,-0.736207,1.3672,0.451328,0.542965,0.741478,2.70065
1463604467,-0.298692,-0.351407,-2.08606,1.43764,1.97719,2.68417,0.430858,2.24536
1463604469,-0.144446,-0.943573,-0.902557,1.88455,4.04378,4.70202,0.201159,2.51947
1463604471,-0.96442,-1.7881,-1.87173,2.14496,6.63707,7.6682,0.576075,4.02393
1463604473,-2.11634,-2.55185,-2.0916,1.77549,7.39479,7.77743,1.21164,4.48662
1463604475,-3.29751,-3.36394,-1.76758,1.28155,8.02608,7.99691,1.37981,4.58442
1463604477,-2.86256,-3.19598,-2.39014,0.69287,8.4796,7.80819,1.64966,5.1938
1463604479,-2.28983,-1.89406,-1.3875,1.36783,8.18634,7.76229,0.867204,4.18905
1463604481,-1.00943,-1.12459,-1.30352,0.947902,6.45721,5.96032,1.06207,3.22348
1463604483,-1.04566,-0.439985,-1.96159,0.975003,4.88915,3.81803,1.56436,3.80245
1463604485,-0.329205,0.378406,-2.20695,0.658515,2.66577,1.08463,1.2236,4.22133
1463604487,0.308175,0.169791,-1.70018,0.878263,0.739459,-1.9249,1.47201,4.00085
1463604489,0.650307,0.405702,-1.63306,0.885201,-0.513933,-3.38864,0.412627,2.61554
1463604491,1.68385,1.28729,-1.78438,0.918382,-1.11273,-3.95916,0.306543,1.82814
1463604493,2.45278,2.28954,-1.48569,1.00449,-0.781016,-3.53099,-0.0113158,1.53803
1463604495,2.45348,2.18004,-0.734782,1.08852,0.0395826,-3.25019,0.0342173,1.81919
1463604497,1.44164,0.929627,-0.2167,1.25919,0.0299879,-2.92761,0.407079,2.12067
1463604499,0.693926,0.606016,-0.189552,1.63012,1.59349,-1.98235,1.11712,2.7723
1463604501,1.07758,0.525673,-0.157504,2.615,2.10188,-1.57969,1.6723,2.27301
1463604503,0.758383,-0.182267,-0.296144,2.67469,3.32356,-0.438017,0.372986,2.34438
1463604505,0.966199,0.0121385,0.499437,2.66267,2.95111,0.289792,0.52741,2.67534
1463604507,1.50818,0.93921,0.309245,1.93135,3.04984,-0.00259908,0.939181,3.24675
1463604509,1.77261,0.525028,0.197902,1.99258,3.69756,0.495756,1.53411,3.06239
1463604511,1.32309,0.514814,-0.0384909,2.26943,3.66193,0.113817,1.57587,3.36549
1463604513,0.844161,0.480491,0.230149,1.67724,3.83343,0.424027,1.04487,4.19972
1463604515,1.3802,0.630687,-0.294605,1.59108,3.7065,0.157037,1.25333,4.4091
1463604517,1.42524,1.3724,-0.170333,1.55137,3.64703,-0.359854,1.02287,2.60352
1463604519,1.4663,1.25293,-0.32669,1.76142,3.32031,-0.893656,1.20822,2.70704
1463604521,1.79022,0.883733,-0.591216,1.5948,2.45565,-1.33537,0.881208,3.14714
